Phase,River,Date,Julian Day,ID,Discharge,Temp,pH,Cond,Alk,A254,A375,A412,A420,A440,H2O-2H,H2O-18O,DOC,DOC-13C,DOC-14C,DOC-fm,TDN,NO3,NH4,TDP,PO4,SiO2,Na,K,Mg,Ca,As,Ba,Cl,SO4,Li,Rb,Sr,U,F,UTHg,UMeHg,TSS,POC,POC-13C,POC-14C,POC-fm,PON,PON-15N,Sample depth 1,TSS (1),POC (1),POC-13C (1),PON (1),PON-15N (1),Sample depth 2,TSS (2),POC (2),POC-13C (2),PON (2),PON-15N (2)
Arctic-GRO I,Ob,6/7/09,158,,35600,,,,41.5,0.293,0.057,0.032,0.028,0.021,-115,-15.7,8.5,,2.6,1.01,0.51,167,14,18,10,4.6,5.2,1.09,3.33,13.8,0.44,14,2.7,2.4,,,80,0.2,72.8,,,43.1,1.77,-30,-182.8,0.823,213,6.3,,,,,,,,,,,,
Arctic-GRO I,Ob,6/13/09,164,,34900,,,,39,0.272,0.056,0.032,0.028,0.021,-116,-15.8,7.7,-27.8,32.8,1.04,0.38,102,10,16,10,4.2,4.99,1.06,3.27,13.1,0.43,13,2.6,2.3,,,75,0.18,68.4,,,51.9,1.27,-29.9,-158.1,0.848,274,5.7,,,,,,,,,,,,
Arctic-GRO I,Ob,8/25/09,237,,14300,,,,52.8,0.362,0.064,0.034,0.03,0.021,-99,-13.6,10.5,-28.1,23.1,1.03,0.42,36,7,38,18,5.3,5.57,0.8,4.08,16.8,0.88,16,2.5,1.8,,,94,0.24,35.5,,,39.6,1.3,-30.8,-195.8,0.81,234,4.4,,,,,,,,,,,,
Arctic-GRO I,Ob,12/1/09,335,,4750,,,,72.8,0.219,0.038,0.019,0.017,0.012,-108,-14.7,7.3,-28.2,-46.1,0.961,0.64,170,167,38,19,11.7,10.11,0.96,5.73,21.5,0.59,18,5.9,2,,,124,0.43,84.2,,,5.4,0.52,-32.4,-161.4,0.845,26,0.6,,,,,,,,,,,,
Arctic-GRO I,Ob,5/31/10,151,,30100,7.3,7.2,,57.4,0.329,0.064,0.036,0.032,0.024,-123,-17.3,9.6,-28.1,34.3,1.042,,316,34,16,7,5.1,5.33,1.2,3.64,15.7,0.39,16,2.8,2.2,,,89,0.25,76,,,67,2.49,-29.5,-286.7,0.719,301,5.8,,,,,,,,,,,,
Arctic-GRO I,Ob,6/4/10,155,,29100,7.6,7.4,,43.9,0.363,0.069,0.038,0.034,0.025,-128,-17.3,10.3,-28.4,21.2,1.029,,264,9,12,8,4.8,4.43,1.14,3.28,13.2,0.45,14,2.2,1.9,,,75,0.17,66.5,,,131.7,3.22,-29.3,-164.1,0.842,432,5.2,,,,,,,,,,,,
Arctic-GRO I,Ob,6/9/10,160,,28500,8.1,7.8,,46.5,0.336,0.063,0.034,0.03,0.022,-127,-17.3,9.8,-25,23.6,1.031,,287,6,13,14,4.9,4.4,1.19,3.1,13.3,0.46,15,2.4,2,,,77,0.15,72.2,,,134.8,2.7,-28.6,,,303,6.3,,,,,,,,,,,,
Arctic-GRO I,Ob,8/13/10,225,,20800,18,7.8,,59.5,0.337,0.064,0.036,0.032,0.025,-106,-14.4,12.3,-24.9,12.2,1.02,0.4,16,11,22,21,4.1,5,1.13,3.88,18.8,0.91,19,,,2.27,0.68,102,0.15,,,,56.3,1.5,-31.8,-300.5,0.705,282,6,,,,,,,,,,,,
Arctic-GRO I,Ob,12/12/10,346,,5620,,6.8,,70,0.331,0.075,0.044,0.04,0.031,-110,-15.1,11.1,-28.9,-31,0.976,0.61,156,128,27,39,10.5,8.28,0.84,5.13,20.1,0.46,17,,,3.14,0.57,113,0.31,,,,7.8,0.81,-31.5,-192.2,0.814,26,7.8,,,,,,,,,,,,
Arctic-GRO I,Ob,5/29/11,149,,35200,10.6,7.6,,42.5,0.346,0.075,0.046,0.041,0.031,-127,-17.1,11.8,-27.7,-21.5,0.986,0.36,192,17,24,15,4.3,4.24,0.97,2.83,13.6,0.46,14,6.2,1.9,1.85,0.54,73,0.12,58.9,,,53.5,1.84,-30,-188,0.818,271,9.3,,,,,,,,,,,,
Arctic-GRO I,Ob,6/5/11,156,,33300,11.2,7.6,,41.8,0.351,0.078,0.048,0.043,0.033,-127,-17.1,12.2,-27.8,45,1.053,0.37,185,19,22,20,4.2,4.35,0.97,3.05,13.1,0.45,14,7.8,,1.8,0.55,73,0.12,78.8,,,66.7,1.24,-30.2,-193.7,0.812,249,8.6,,,,,,,,,,,,
Arctic-GRO I,Ob,6/10/11,161,,31800,12.5,7.6,,40.4,0.355,0.074,0.043,0.038,0.028,-128,-17,12.3,,55.7,1.064,0.32,150,17,24,19,3.9,4.25,0.95,3.21,12.6,0.44,14,2.6,2.1,1.75,0.54,71,0.11,58.9,,,66.7,1.78,-30.4,-196.9,0.809,271,6.9,,,,,,,,,,,,
Arctic-GRO I,Ob,8/8/11,220,,13600,16.4,8,,89,0.373,0.072,0.043,0.038,0.03,-115,-14.7,13.3,-28.3,13.4,1.021,0.35,13,3,40,23,3.3,6.58,0.96,4.64,20,0.82,17,3.9,2.3,2.65,0.56,110,0.31,73.1,,,26.9,1.68,-30.9,-164.8,0.841,251,6.4,,,,,,,,,,,,
Arctic-GRO I,Ob,12/7/11,341,,5600,-1,,,138.2,0.293,0.068,0.045,0.041,0.035,-110,-15.3,10.5,-29.3,-45.5,0.962,0.5,198,124,67,25,12.6,9.22,0.91,5.61,21.3,0.69,18,4.8,2,2.97,0.64,120,0.24,67.4,,,3.1,0.47,-32.9,-210.5,0.795,79,3.9,,,,,,,,,,,,
Arctic-GRO II,Ob,6/6/12,158,Kit 1,23500,11.2,,104,31.6,0.378,0.078,0.045,0.04,0.031,-107,-16.2,10.3,-27.1,33.8,1.042,0.48,85,30,49,27,4.2,4.64,0.88,2.8,10.9,0.5,12,3.5,2,1.77,0.57,64,,,7.528,,37.9,1.32,-30.1,-234.4,0.771,178,5.1,,,,,,,,,,,,
Arctic-GRO II,Ob,8/22/12,235,Kit 2,8360,15.2,,,73.2,0.314,0.053,0.03,0.026,0.019,-98,-13.8,9,-25.8,-67.6,0.939,0.35,2,10,102,40,4.3,8.44,1,5.19,23.5,1.29,20,4.5,2.7,2.95,0.55,133,0.46,,2.821,,8.5,0.5,-29.5,-232.9,0.773,137,4,,,,,,,,,,,,
Arctic-GRO II,Ob,10/25/12,299,Kit 3,8800,3.8,,,76,0.274,0.059,0.037,0.034,0.027,-101,-14.1,7.9,,,,0.46,113,54,48,25,7.5,8.24,0.9,5.53,23.1,0.75,18,5.1,2.6,3.06,0.56,131,0.45,,3.434,,9.7,1.07,-29.8,-242.8,0.763,121,4.3,,,,,,,,,,,,
Arctic-GRO II,Ob,12/8/12,343,Kit 4,5060,0,,,75.6,0.299,0.062,0.038,0.035,0.028,-97,-14.5,8.4,-28.9,-28.5,0.979,0.59,186,133,64,27,10.9,9.69,0.98,5.7,24.3,0.7,16,6.8,2.8,3.36,0.56,137,0.39,,2.338,,7.3,0.97,-25.9,-271.9,0.734,62,4,,,,,,,,,,,,
Arctic-GRO II,Ob,1/3/13,3,Kit 5,5080,0,,,71.8,0.252,0.051,0.032,0.029,0.024,-110,-15,7.3,-28.7,-62,0.945,0.74,266,189,69,30,12.9,9.24,0.96,5.41,22.3,0.57,12,6.9,2.4,3.17,0.63,128,0.18,,6.922,,8.1,1.16,-30.2,-263,0.743,69,1.3,,,,,,,,,,,,
Arctic-GRO II,Ob,3/24/13,83,Kit 6,3350,-0.1,,,118.1,0.133,0.026,0.018,0.017,0.015,-109,-15.5,4.5,-29.9,-124.7,0.882,1.03,195,565,37,30,16.2,12.05,1.31,8.49,37.9,0.37,13,7.5,4.1,4.17,1.01,223,0.68,,9.384,,10.4,1.09,-34.8,-295.8,0.71,86,-3.6,,,,,,,,,,,,
Arctic-GRO II,Ob,5/26/13,146,Kit 7,28300,5.5,,,60.6,0.229,0.048,0.029,0.026,0.021,-124,-17.2,,-28.7,3.9,1.012,,,,33,20,7.2,7.54,1.27,4.83,21.1,0.29,19,4.9,3.5,2.66,0.94,123,0.46,,7.771,,37.6,1.27,-29.8,-262.5,0.743,203,3.1,,,,,,,,,,,,
Arctic-GRO II,Ob,7/13/13,194,Kit 8,23800,18.5,,106,42.6,0.457,0.08,0.043,0.038,0.028,-112,-16,16.6,,,,,33,10,45,22,5.3,4.85,1.23,3.25,14.3,0.79,19,3.2,2.5,2.12,0.7,84,0.11,,3.535,,22.7,1.24,-30.3,-192.6,0.814,156,4.7,5,18.7,1.2,-30.4,156,5.8,,,,,,
Arctic-GRO II,Ob,9/25/13,268,Kit 9,13100,7.8,,170,79.3,0.183,0.033,0.021,0.019,0.016,-108,-14.7,7.4,,,,0.29,3,32,28,12,3.6,7.32,0.96,5.41,24.1,0.69,21,4,2.6,2.89,0.56,134,0.63,,4.38,,27.7,2.16,-29.7,,,167,7.3,5,22.6,1.48,-31.1,197,3.7,,,,,,
