Phase,River,Date,Julian Day,ID,Discharge,Temp,pH,Cond,Alk,A254,A375,A412,A420,A440,H2O-2H,H2O-18O,DOC,DOC-13C,DOC-14C,DOC-fm,TDN,NO3,NH4,TDP,PO4,SiO2,Na,K,Mg,Ca,As,Ba,Cl,SO4,Li,Rb,Sr,U,F,UTHg,UMeHg,TSS,POC,POC-13C,POC-14C,POC-fm,PON,PON-15N,Sample depth 1,TSS (1),POC (1),POC-13C (1),PON (1),PON-15N (1),Sample depth 2,TSS (2),POC (2),POC-13C (2),PON (2),PON-15N (2)
Arctic-GRO III,Ob,3/25/18,84,Kit 37,4980,0.5,,,122.2,0.115,0.012,0.003,0.002,0,-114,-14.9,4.7,,,,0.72,270,369,39,8,13.9,11.99,1.14,7.73,31.9,0.38,23,0.1,0.1,3.77,0.88,216,0.67,3.8,,,8.2,1.02,-37.1,-310.6,0.695,119,0.3,,,,,,,,,,,,
Arctic-GRO III,Ob,5/19/18,139,Kit 38,7850,0.3,,,28.6,0.087,0.009,0.005,0.004,0.003,-150,-20.1,4.6,,,,0.62,332,177,16,5,11.2,2.75,0.73,2.92,6.9,0.29,1,0.8,2.4,1.53,0.91,44,0,24.7,,,6.9,0.85,-33.2,-353.1,0.652,86,-1.4,,,,,,,,,,,,
Arctic-GRO III,Ob,7/22/18,203,Kit 39,31600,18,,,50.4,0.458,0.082,0.043,0.037,0.025,-107,-13.8,13.2,,,,0.47,52,12,80,36,4.9,4.93,1.41,3.23,13.6,1.22,19,3.3,2,1.94,0.99,95,0.11,66.5,,,25.5,1.04,-31.1,-274.3,0.732,129,6.4,8,37.9,0.9,-31.7,116,4.8,5,37.1,1.04,-30.7,144,2
Arctic-GRO III,Ob,9/2/18,245,Kit 40,20300,5,,,44.2,0.407,0.066,0.034,0.029,0.02,-100,-12.8,12.2,,,,0.48,90,7,50,18,6.8,6.31,1.05,4.2,16.6,1.43,22,4.2,2.1,2.38,0.9,117,0.25,78.5,,,14.1,0.97,-32.6,-235.3,0.771,152,7.5,12,24.3,1.19,-32.2,200,6.4,7,28.7,0.98,-31.9,157,5.8
Arctic-GRO III,Ob,11/26/18,330,Kit 41,8430,0,,,55.4,0.328,0.057,0.03,0.026,0.018,-109,-14.2,9.7,,,,0.48,135,98,50,20,9.7,7.4,0.69,4.07,14.2,0.65,13,5.3,1.7,2.33,0.52,98,0.29,55.1,,,6.4,0.24,-29.3,-408.9,0.596,52,4.8,,,,,,,,,,,,
Arctic-GRO III,Ob,2/24/19,55,Kit 42,4680,0,,,100.8,0.199,0.028,0.014,0.012,0.008,-116,-15,6.5,,,,0.76,193,378,63,15,14,12.1,1.11,6.85,23.7,0.36,12,9,2.9,3.44,0.92,166,0.42,84.2,,,14.1,0.97,-30.4,-263.5,0.743,92,1.3,,,,,,,,,,,,
Arctic-GRO III,Ob,4/8/19,98,Kit 43,4240,0,,,118,0.126,0.014,0.004,0.004,0.002,-112,-14.6,4.9,,,,0.8,153,454,13,7,14.7,12.5,1.3,8.04,30.8,0.29,21,7.5,3.7,3.65,1,213,0.6,95.6,,,6.4,0.65,-36.7,-272.3,0.734,84,0.1,,,,,,,,,,,,
Arctic-GRO III,Ob,6/11/19,162,Kit 44,34600,6,,,43.6,0.381,0.065,0.035,0.03,0.022,-121,-15.8,10.1,,,,0.43,120,3,26,13,5.3,5.95,1.02,3.21,12.3,0.59,15,4.1,2.4,1.72,0.64,85,0.14,60.2,,,4.9,0.79,-29.9,-268.5,0.738,100,6.1,12,39.4,1.44,-29.8,167,5.1,7,26,1.41,-29.8,126,4.3
Arctic-GRO III,Ob,8/30/19,242,Kit 45,16800,7,,,52.3,0.497,0.084,0.043,0.037,0.026,-103,-13.4,12.6,,,,0.46,18,11,56,23,6.2,6.21,0.81,3.72,14.1,0.95,15,4.2,1.7,2.1,0.64,97,0.19,59.5,,,15.3,1.07,-30,-252.2,0.754,163,5.6,9,36.5,1.37,-30.9,167,4.9,5,16.6,1.6,-30.1,195,3.3
Arctic-GRO IV,Ob,2/23/20,54,Kit 46,4870,0,,,98.2,0.209,0.029,0.016,0.013,0.009,-109,-14.6,6.3,,,,0.69,310,223,,12,11.2,11,1.08,7.71,27.9,,14,6.3,3.3,3.47,0.91,171,0.47,72.2,,,11.2,1.4,-29.4,-298.1,0.708,139,4.9,,,,,,,,,,,,
Arctic-GRO IV,Ob,6/7/20,159,Kit 47,38500,4,,,36.2,0.498,0.091,0.052,0.045,0.033,-115,-15.4,11.4,,,,0.43,45,32,,18,4.9,5.1,1.04,2.9,11.7,,13,3.3,2,1.81,0.76,74,0.09,47.5,,,13.5,0.7,-29,-380.8,0.625,64,5.1,,,,,,,,,,,,
Arctic-GRO IV,Ob,7/24/20,206,Kit 48,33400,15,,,47.3,0.531,0.084,0.046,0.039,0.027,-106,-13.8,13,,,,0.42,37,4,,19,5.1,5.94,1.09,3.51,15.1,,18,3.7,1.5,2.11,0.94,94,0.11,56.1,,,8.5,1.83,-29.2,-235.1,0.771,166,7.6,23,21.7,0.89,-29.3,151,5.9,18,27.5,0.94,-30.1,149,3.7
Arctic-GRO IV,Ob,8/30/20,243,Kit 49,11900,8,,,63.2,0.369,0.057,0.031,0.026,0.018,-103,-13.5,9.7,,,,0.29,1,4,,10,4.5,7.86,1.02,4.67,19.4,,18,4.4,2,2.77,0.74,119,0.37,67.4,,,9.2,1.82,-31,-350.2,0.655,258,6.1,22,40.4,0.54,-30.5,218,5.1,14,9.8,1.13,-31.1,145,5.7
Arctic-GRO IV,Ob,11/4/20,309,Kit 50,8410,1,,,66.9,0.298,0.044,0.022,0.019,0.012,-106,-14.1,8.7,,,,0.41,114,60,,21,8.4,8.33,0.78,4.9,19.7,,15,5,2,2.68,0.64,117,0.38,76,,,10.7,0.56,-32.6,,,73,4.1,,,,,,,,,,,,
Arctic-GRO IV,Ob,12/13/20,348,Kit 51,6180,0,,,70.2,0.245,0.037,0.019,0.016,0.011,-110,-14.8,7.5,,,,0.52,152,153,,23,10.9,9.79,0.88,5.17,19.4,,15,6.2,1.9,3.06,0.69,118,0.33,58,,,10.4,0.82,-30.7,-319.2,0.687,102,5,,,,,,,,,,,,
Arctic-GRO IV,Ob,1/16/21,16,Kit 52,5720,0,,,36.9,0.251,0.034,0.018,0.016,0.012,-117,-15.2,7.4,,,,0.67,236,237,,28,17.8,12,1.08,5.78,17.7,,8,9.2,1.9,3.36,0.78,117,0.19,69.3,,,8.8,0.95,-29,,,72,3.1,,,,,,,,,,,,
Arctic-GRO IV,Ob,3/28/21,87,Kit 53,5010,0,,,104.5,0.133,0.017,0.008,0.007,0.004,-113,-15.1,4.2,,,,1.02,941,3,,9,15.9,3.25,0.4,2.26,15.8,,17,2,0.9,1.19,0.34,95,0.24,64.6,,,8.2,1.2,-29.4,-545.4,0.459,183,5.9,,,,,,,,,,,,
Arctic-GRO IV,Ob,5/30/21,150,Kit 54,33000,2,,,22.1,0.304,0.053,0.034,0.03,0.021,-122,-16.1,7.6,,,,0.85,695,3,,10,5.2,6.47,1.16,3.17,13,,14,4.4,2.5,1.96,0.77,81,0.14,53.2,,,23.6,1.3,-28.3,-656.2,0.347,132,6.6,10,44.5,1.36,-28.4,188,6.7,5,20.4,0.87,-28.2,80,5.2
Arctic-GRO IV,Ob,7/31/21,212,Kit 55,25500,9,,,50.9,0.374,0.063,0.035,0.031,0.022,-113,-14.4,9.3,,,,0.33,56,2,,20,4.5,3.13,0.69,2.37,12.7,,15,1.6,1.1,1.29,0.45,77,0.1,53.2,,,5.3,0.83,-28.3,-801.6,0.2,129,4.8,8,14.7,1.1,-28.8,62,1.7,5,22.7,0.88,-28.4,105,6.2
Arctic-GRO IV,Ob,9/25/21,268,Kit 56,13400,6,,,40.6,0.388,0.061,0.032,0.028,0.02,-101,-13.5,9.9,,,,0.39,85,37,,17,7.6,7.92,0.87,4.71,20,,19,4.4,1.9,2.68,0.58,120,0.46,73.1,,,5,0.83,-28.8,-475.4,0.529,123,5.5,5,34.8,0.53,-27.3,132,6.3,3,26.9,0.91,-29.5,137,5.2
Arctic-GRO IV,Ob,11/27/21,331,Kit 57,5000,0,,,40.3,0.315,0.048,0.025,0.022,0.015,-107,-14.3,9.1,,,,0.56,161,102,,15,11.3,9.76,0.97,5.01,19.8,,17,6.2,1.7,2.92,0.75,120,0.35,65.5,,,9.2,2.2,-28.6,-365,0.64,123,4.4,,,,,,,,,,,,
Arctic-GRO IV,Ob,2/27/22,58,Kit 58,4500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic-GRO IV,Ob,4/29/22,119,Kit 59,4800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic-GRO IV,Ob,6/29/22,180,Kit 60,33800,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic-GRO IV,Ob,8/6/22,218,Kit 61,16000,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic-GRO IV,Ob,10/19/22,292,Kit 62,8830,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic-GRO IV,Ob,12/4/22,338,Kit 63,4760,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic-GRO IV,Ob,1/28/23,28,Kit 64,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic-GRO IV,Ob,3/31/23,90,Kit 65,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic-GRO IV,Ob,5/14/23,134,Kit 66,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic-GRO IV,Ob,7/16/23,197,Kit 67,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTNERS,Yenisey,7/25/03,206,,18490,16.7,8,,58,,,,,,,,,,,,0.18,3,52,7,,5.3,7.6,0.68,4.3,30.3,,,12,3,,,,,,,,14,0.59,-31.6,,,66,3.4,,,,,,,,,,,,
PARTNERS,Yenisey,3/19/04,79,,,-0.1,7.3,,67.7,,,,,,,,2.9,-25.6,34,,0.29,224,0,14,,6.9,9.6,0.88,5.5,24.9,0.27,16,14.8,4.9,2.1,0.53,224,0.3,,,,9.2,0.21,-28.4,-374.9,0.629,31,8,,,,,,,,,,,,
PARTNERS,Yenisey,6/14/04,166,,98500,3.8,7.5,,19.6,,,,,,,,12.6,-25.5,107,,0.3,31,0,19,,4.5,2.9,0.52,2,8.2,,,2.9,1.2,,,,,,,,26.1,0.83,-27.8,-148.5,0.857,92,4.4,,,,,,,,,,,,
PARTNERS,Yenisey,6/16/04,168,,94500,5.4,7.5,,19.4,,,,,,,,12.4,-27.3,126,,0.33,25,0,17,,4.3,3,0.72,1.9,8,0.28,6,3.2,1.1,0.76,0.38,59,0.07,,,,21.6,0.91,-29.4,-135,0.871,109,,,,,,,,,,,,,
PARTNERS,Yenisey,6/18/04,170,,90600,8,7.6,,19.1,,,,,,,,11.4,-27.5,125,,0.29,25,0,14,,4.2,2.6,0.43,1.9,7.6,0.28,5,2.6,1.1,0.71,0.34,56,0.06,,,,11.9,0.81,-27.9,-133.2,0.873,99,4.5,,,,,,,,,,,,
PARTNERS,Yenisey,8/25/04,238,,18200,10.1,7.9,,58.8,,,,,,,,4.9,-26.7,50,,0.18,6,0,10,,5.7,9.1,0.75,5.2,21.3,0.33,13,14.2,3.8,1.95,0.51,173,0.28,,,,20,0.24,-30.6,-277.2,0.728,45,4.9,,,,,,,,,,,,
PARTNERS,Yenisey,10/1/04,275,,19880,6.1,7.6,,44.4,,,,,,,,6.9,-26.1,51,,0.22,29,0,11,,8.2,7.9,0.57,4.3,18.6,0.29,10,12.9,3.2,1.51,0.41,142,0.18,,,,14.5,0.29,-30.2,-306.6,0.698,48,4,,,,,,,,,,,,
PARTNERS,Yenisey,10/2/04,276,,19370,5.5,7.8,,42.3,,,,,,,,7.1,-26.5,51,,0.26,32,0,10,,7.8,7.9,0.55,4.3,18.2,0.31,9,12.9,3.2,1.42,0.36,137,0.16,,,,14.5,0.29,-30.5,-283,0.722,49,3.5,,,,,,,,,,,,
PARTNERS,Yenisey,3/26/05,85,,12850,-1,7.5,,58.5,,,,,,,,3.5,-21.7,-12,,0.28,220,0,23,,6.5,9.6,0.87,5.6,23.5,0.28,16,16.1,5.7,2.14,0.48,200,0.31,,,,1.7,0.14,-30.7,-486.5,0.517,17,3.8,,,,,,,,,,,,
PARTNERS,Yenisey,6/11/05,162,,80160,8.1,7.8,,20.9,,,,,,,,9.4,-27.6,99,,0.25,25,0,18,,4.1,3,0.46,2.1,,0.24,6,3.6,1.2,0.84,0.38,69,0.05,,,,12.5,0.07,-30.1,-225.7,0.779,10,6.5,,,,,,,,,,,,
PARTNERS,Yenisey,6/16/05,167,,53410,10.9,7.7,,22.8,,,,,,,,9.7,-27.1,90,,0.25,27,0,16,,4.9,3.2,0.47,2.3,9,0.28,6,3.8,1.4,0.82,0.36,64,0.06,,,,6.8,0.29,-29.9,-217.9,0.787,46,4.5,,,,,,,,,,,,
PARTNERS,Yenisey,6/17/05,168,,50410,11.3,7.9,,17,,,,,,,,9.2,-27.6,106,,0.25,32,59,14,,4.8,3.3,0.48,2.3,9.1,0.26,7,4,1.4,0.84,0.37,73,0.06,,,,6.8,0.28,-29.9,-317.7,0.687,46,5.5,,,,,,,,,,,,
PARTNERS,Yenisey,8/16/05,228,,14290,13.1,8.3,,61.3,,,,,,,,5.7,-20.4,2,,0.19,6,0,11,,6.2,8.5,0.74,5,20.7,0.44,13,13.3,3.6,2.09,0.61,175,0.23,,,,1.4,0.27,-33.4,-210.1,0.795,60,3,,,,,,,,,,,,
PARTNERS,Yenisey,8/21/05,233,,14150,15,8.3,,52.9,,,,,,,,6.2,-20.5,17,,0.2,3,0,14,,6.1,8.5,0.74,4.9,21.5,0.38,14,13.8,3.7,2.07,0.58,179,0.24,,,,1.7,0.31,-33,-282.2,0.723,67,2.6,,,,,,,,,,,,
PARTNERS,Yenisey,9/21/05,264,,15310,10.1,,,55.9,,,,,,,,5.3,-27.4,16,,0.18,11,0,12,,7.1,8,0.64,4.6,20,0.28,13,13,3.6,1.67,0.49,164,0.22,,,,1,0.2,-31.8,-334.5,0.67,41,2.2,,,,,,,,,,,,
PARTNERS,Yenisey,6/17/06,168,,82200,8.6,7.3,,14.9,,,,,,,,13,,,,0.29,32,0,21,,4.2,2.9,0.54,2.1,8.4,,,3.2,1.2,,,,,,,,26.1,,-27.6,,,,2.5,,,,,,,,,,,,
PARTNERS,Yenisey,11/22/06,326,,23246,,8.1,,49.6,,,,,,,,4.1,,,,0.21,132,0,11,,6.6,7.3,0.71,4.9,21.4,,,11.1,4.4,,,,,,,,2.4,0.1,-32.4,-394.6,0.602,18,3,,,,,,,,,,,,
Arctic-GRO I,Yenisey,6/17/09,168,,85400,,7.8,,25.2,0.383,0.079,0.045,0.04,0.029,-141,-18.6,9.8,-27.5,79.8,1.088,0.35,15,10,14,7,4.9,2.78,0.4,2.2,8.7,0.23,6,1.9,1.2,,,63,0.07,8.9,,,10.8,0.54,-29,,,64,3.8,,,,,,,,,,,,
Arctic-GRO I,Yenisey,6/21/09,172,,67200,,7.8,,25.5,0.383,0.075,0.042,0.037,0.027,-141,-19.8,9.5,-27.4,98.6,1.107,0.29,14,12,9,6,4.7,2.91,0.44,2.45,9.7,0.26,7,2.3,1.2,,,67,0.08,40.5,,,14.1,0.68,-28.4,-234.1,0.771,77,6.9,,,,,,,,,,,,
Arctic-GRO I,Yenisey,6/27/09,178,,45600,10.1,7.8,,27.8,0.372,0.073,0.041,0.036,0.026,-140,-19.1,9.6,-27.9,103.8,1.112,0.33,15,9,12,6,4.8,3.01,0.44,2.37,9.5,0.25,6,2.5,1.3,,,68,0.07,40.5,,,9.4,0.54,-28.3,-296.9,0.708,72,4.8,,,,,,,,,,,,
Arctic-GRO I,Yenisey,8/8/09,220,,15900,17.5,8,,59.6,0.17,0.025,0.012,0.011,0.007,-124,-17.3,5.6,-27.6,50.8,1.058,0.22,0,9,8,4,5.5,7.18,0.59,4.15,17.6,0.36,11,7.9,3.1,,,153,0.24,87.4,,,2.8,0.37,-32.7,,,62,3.8,,,,,,,,,,,,
Arctic-GRO I,Yenisey,11/30/09,334,,11300,0.5,7.8,,68.8,0.109,0.014,0.006,0.005,0.003,-130,-17.6,4,,,,0.3,103,21,4,5,6.2,8.45,0.76,5.38,24,0.34,14,7.5,4,,,201,0.35,50.7,,,0.2,0.54,-27,,,54,7.6,,,,,,,,,,,,
Arctic-GRO I,Yenisey,6/18/10,169,,64500,9.9,7.8,,35.4,0.42,0.082,0.046,0.04,0.03,-148,-19.5,10.8,-28.8,54.7,1.062,0.42,34,8,17,6,5,4.38,0.61,3,12.4,0.28,7,3.2,1.5,,,83,0.11,50.7,,,16.5,0.71,-27.6,-316.9,0.688,99,5.3,,,,,,,,,,,,
Arctic-GRO I,Yenisey,6/23/10,174,,52100,9.6,8,,36.9,0.41,0.075,0.041,0.036,0.027,-141,-19.2,10.5,-28.5,61.1,1.069,0.39,39,5,16,8,5.3,3.74,0.52,2.65,11.1,0.28,8,3.1,1.6,,,82,0.1,52.6,,,12.3,0.72,-28.8,-275.4,0.73,91,5.3,,,,,,,,,,,,
Arctic-GRO I,Yenisey,6/27/10,178,,42700,9.9,8,,36.8,0.393,0.079,0.044,0.039,0.029,-138,-18.6,10.2,-29.4,55.9,1.064,0.42,43,9,17,7,5.7,4.51,0.58,3.27,14.2,0.3,8,2.9,1.6,,,92,0.12,18.4,,,7.9,0.51,-29.6,-247.6,0.758,74,5.3,,,,,,,,,,,,
Arctic-GRO I,Yenisey,9/21/10,264,,23600,12,8,,53.5,0.246,0.054,0.033,0.03,0.023,-122,-16.4,9.1,-28.5,18.7,1.026,0.41,26,34,16,10,6.4,5.94,0.55,4.02,17.1,0.26,12,,,1.32,0.41,128,0.05,,,,5.2,0.51,-29.9,-302.6,0.702,74,5.6,,,,,,,,,,,,
Arctic-GRO I,Yenisey,12/8/10,342,,9180,,8.3,,66.9,0.132,0.023,0.013,0.011,0.009,-128,-17.8,5.4,-23.2,-46.6,0.96,0.33,96,21,15,9,6.3,7.78,0.62,5.47,23.2,0.29,13,,,1.83,0.4,203,0.15,,,,0.9,0.18,-30.6,-373.2,0.631,28,7.6,,,,,,,,,,,,
Arctic-GRO I,Yenisey,6/17/11,168,,25900,14.7,8.1,,39.2,0.286,0.06,0.037,0.033,0.025,-139,-19,9.5,-19,-2.3,1.005,0.2,8,6,15,11,5,4.17,0.46,2.85,12.1,0.17,7,4.6,1.8,1.04,0.41,94,bdl,55.1,,,2.2,0.31,-32,-252.3,0.753,56,5.7,,,,,,,,,,,,
Arctic-GRO I,Yenisey,6/21/11,172,,21800,15,7.7,,41.2,0.274,0.058,0.035,0.032,0.025,-143,-18.8,9,-21.9,26.9,1.035,0.22,6,8,12,8,4.9,4.36,0.5,3.01,12.7,0.25,8,7.5,2,1.12,0.43,98,bdl,55.1,,,1.6,0.31,-32.8,-186.2,0.82,55,4,,,,,,,,,,,,
Arctic-GRO I,Yenisey,7/2/11,183,,16500,15.2,,,33.4,0.234,0.049,0.03,0.027,0.022,-140,-18.4,8.1,-27.2,52.8,1.061,0.23,4,17,9,7,4.8,3.95,0.42,2.59,11.4,0.2,7,6.6,2.3,1.02,0.36,91,bdl,62.7,,,1,0.38,-33.1,-164.7,0.842,58,6.3,,,,,,,,,,,,
Arctic-GRO I,Yenisey,9/29/11,272,,17300,10.2,8.3,,,0.178,0.044,0.03,0.028,0.023,-128,-17.1,5.1,,29.1,1.037,0.09,5,16,9,6,5.8,7.2,0.49,4.39,18.7,0.29,10,5,5.2,1.6,0.37,157,0.1,68.4,,,1.3,0.18,-31.4,-120,0.887,31,4,,,,,,,,,,,,
Arctic-GRO I,Yenisey,12/2/11,336,,7800,0,,,66.8,0.136,0.028,0.018,0.017,0.013,-130,-18,5.2,-27.1,23.9,1.032,0.21,70,18,12,7,6.3,7.12,0.61,5.1,22,0.31,13,8.3,3.7,1.75,0.36,184,0.16,77.9,,,3.7,0.23,-30.8,-239.3,0.766,58,6.9,,,,,,,,,,,,
Arctic-GRO II,Yenisey,6/20/12,172,Kit 1,34800,12.7,,62,24.4,0.358,0.071,0.041,0.036,0.027,-160,-19.6,8.6,,,,0.28,10,13,15,10,4.6,3.26,0.39,2.35,9.7,0.28,7,3.6,1.3,0.87,0.35,75,0.07,,4.723,,4.2,0.49,-28.7,-215.6,0.79,55,4,,,,,,,,,,,,
Arctic-GRO II,Yenisey,8/19/12,232,Kit 2,11000,15.4,,148,60.6,0.113,0.021,0.014,0.013,0.011,-134,-17.4,3.8,-22.4,-53.8,0.953,0.19,1,10,5,9,3.4,8.72,0.79,4.99,22.9,,13,11.6,3.7,2.11,0.62,201,0.27,,4.221,,1.8,0.6,-31.3,,,82,2.8,,,,,,,,,,,,
Arctic-GRO II,Yenisey,10/19/12,293,Kit 3,11000,3,,164,66.9,0.092,0.019,0.013,0.012,0.01,-133,-17,3,,-28.2,0.979,0.24,21,26,7,11,5.9,10,0.77,5.94,26.4,,13,12.2,5.9,1.92,0.5,211,0.26,,3.428,,11.3,0.34,-30,-528.1,0.476,36,3.6,,,,,,,,,,,,
Arctic-GRO II,Yenisey,12/29/12,364,Kit 4,5850,0,,,67.7,0.091,0.019,0.013,0.013,0.011,-139,-17.8,3.3,-28.8,-14,0.993,0.32,124,31,12,7,7.6,9.58,0.9,5.58,26.1,,17,12.9,5.1,2.23,0.56,241,0.32,,2.876,,0.7,0.19,-28.3,-481,0.523,18,3.7,,,,,,,,,,,,
Arctic-GRO II,Yenisey,1/26/13,26,Kit 5,6450,0.2,,228,80.2,0.078,0.018,0.013,0.013,0.011,-135,-17.8,3.1,-12.1,-112.9,0.894,0.42,171,28,17,9,7.3,11.8,1.33,6.6,29.9,,20,16.4,5.7,2.69,0.68,287,0.37,,2.004,,1.8,0.23,-28.7,-682,0.321,21,6,,,,,,,,,,,,
Arctic-GRO II,Yenisey,3/24/13,83,Kit 6,6100,0.3,,184,74.6,0.068,0.02,0.016,0.016,0.015,-136,-17.6,2.2,-27.4,-18.4,0.989,0.3,149,13,9,16,5.5,11.4,0.76,6.05,28.2,,15,17.8,5.1,2.21,0.56,250,0.3,,2.42,,2.2,0.24,-27.5,,,24,9.1,,,,,,,,,,,,
Arctic-GRO II,Yenisey,5/15/13,135,Kit 7,25900,0.3,,176,72.1,0.065,0.01,0.006,0.006,0.005,-139,-17.8,2.5,-23.5,-3.8,1.004,0.32,164,16,12,10,5.5,10.3,0.89,5.63,25.8,,17,15.1,4.9,2.4,0.54,250,0.35,,4.799,,1.2,0.22,-28.5,-435.2,0.569,27,6.8,,,,,,,,,,,,
Arctic-GRO II,Yenisey,7/19/13,200,Kit 8,17700,17.6,,115,50.5,0.275,0.052,0.031,0.027,0.021,-143,-18.3,9.8,,,,0.28,2,7,9,6,5.1,6.46,0.71,3.91,17.7,,12,8.5,2.5,1.74,0.56,149,0.19,,24.108,,0.4,0.33,-31.5,-393,0.612,44,5.9,16,1,0.34,-31.2,74,6.8,,,,,,
Arctic-GRO II,Yenisey,9/23/13,266,Kit 11,17800,7.8,,145,61.1,0.166,0.028,0.016,0.014,0.011,-138,-18.2,6.3,,,,0.38,27,58,7,4,6,,,,,,,14.7,3.3,,,,,,9.573,,5.6,0.34,-30,-378.6,0.626,41,4.8,12,2.1,0.47,-30.1,42,3.5,,,,,,
Arctic-GRO II,Yenisey,11/30/13,334,Kit 9,9550,2,,136,22.3,0.12,0.025,0.016,0.015,0.013,-155,-20.5,4.5,,,,0.27,105,20,12,4,5.5,7.35,0.68,4.72,21.4,,12,9.2,3.8,1.72,0.48,172,0.25,,4.074,,3.9,0.82,-28.3,-329.7,0.675,74,5.6,,,,,,,,,,,,
Arctic-GRO II,Yenisey,2/25/14,56,Kit 12,6550,,,,58.9,0.085,0.018,0.012,0.012,0.01,-131,-17.3,3.4,,,,0.33,217,6,5,7,7.7,,,,,,,13.7,5.3,,,,,,1.816,,1.5,0.88,-26.8,-503.1,0.501,56,9.6,,,,,,,,,,,,
Arctic-GRO II,Yenisey,4/26/14,116,Kit 13,8450,1.5,,176,71.4,0.071,0.016,0.011,0.011,0.01,-142,-18.4,3.2,,,,0.36,239,31,7,7,6.8,,,,,,,14.6,4.5,,,,,,9.688,,0.4,0.26,-28.3,,,25,9.5,,,,,,,,,,,,
Arctic-GRO II,Yenisey,6/27/14,178,Kit 10,56000,14,,48,74.9,0.33,0.058,0.031,0.027,0.02,-137,-17.9,10.6,,,,0.3,5,8,10,4,3.4,2.71,0.34,1.94,7.7,,5,3,0.9,0.76,0.32,60,0.05,,13.998,,0.7,0.52,-28.1,-240.5,0.765,41,3.4,20,0.4,0.63,-29.7,66,3.1,,,,,,
Arctic-GRO II,Yenisey,8/17/14,229,Kit 14,17800,13.4,,119,55,0.209,0.038,0.022,0.02,0.015,-131,-17.6,5.8,,,,0.19,9,11,8,3,6.4,6.45,0.55,4.25,19.7,0.34,9,7.8,3,1.48,0.47,157,0.37,,23.493,,4.7,0.33,-29.7,-407.6,0.597,47,2.9,17,6.5,0.48,-30.3,53,2.8,,,,,,
Arctic-GRO II,Yenisey,10/17/14,290,Kit 15,14700,1.9,,130,57.3,0.195,0.035,0.02,0.018,0.014,-129,-17.7,5.3,,,,0.21,18,17,10,3,6.5,7.46,0.56,4.63,20.4,0.28,10,9.7,3.2,1.54,0.36,156,0.35,,2.312,,3.2,0.49,-29.1,-489.8,0.514,60,5.1,5,7,1.39,-28.7,145,3.3,,,,,,
Arctic-GRO II,Yenisey,12/7/14,341,Kit 16,8100,0.1,,168,68.3,0.114,0.02,0.012,0.011,0.009,-137,-18.6,3.8,,,,0.25,86,22,9,3,6.6,9.77,0.72,5.31,24.9,0.29,13,13.8,3.8,1.82,0.46,193,0.41,,2.215,,3.1,0.24,-28.7,-552.2,0.451,24,5.4,,,,,,,,,,,,
Arctic-GRO II,Yenisey,1/27/15,27,Kit 17,7900,0.2,,191,79.7,0.085,0.016,0.01,0.009,0.008,-135,-18.7,3.1,,,,0.26,168,11,11,4,7.2,10.8,0.72,6.31,29,0.27,19,14.9,5,2.48,0.48,274,0.46,,1.839,,2.9,0.38,-27.4,,,25,7,,,,,,,,,,,,
Arctic-GRO II,Yenisey,3/23/15,82,Kit 18,7650,0.2,,149,68.1,0.072,0.013,0.009,0.008,0.007,-135,-18.5,2.5,,,,0.25,172,8,5,5,5.6,9.3,0.67,5.33,24.9,0.23,16,12.9,4.6,2.01,0.43,237,0.43,,2.405,,2.1,0.14,-29,-715.4,0.287,16,8.8,,,,,,,,,,,,
Arctic-GRO II,Yenisey,5/4/15,124,Kit 19,9620,2.5,,165,70,0.079,0.014,0.009,0.008,0.007,-135,-18.2,2.8,,,,0.23,151,12,5,5,6,10,0.77,5.44,26.2,0.25,16,14.2,4.8,2.15,0.5,243,0.45,,2.664,,1.4,0.19,-28.6,-511.7,0.492,14,7.9,,,,,,,,,,,,
