,basin_id,sin,wavelength,width,wse,EDiff,ADiff,ERate,ERate_max,ARate,ARate_max,noisyERate,noisyARate,max_wse,min_wse,max_dist,min_dist,n_nodes,mean_Q,coeffVar_Q,mean_Qs,coeffVar_Qs,medain_Qdiff,min_Qdiff,bestYear1,bestYear2,Q_p,Qs_p,FalseERate,FalseARate,NDAI
0,11441100421.0,1.01863069344172,3874.58259417377,94.5,113.900001525879,-1.0,-1.0,-0.00027155580533558683,-0.00027155580533558683,-0.00027155580533558683,-0.00027155580533558683,-0.00027155580533558683,-0.00027155580533558683,113.900001525879,113.900001525879,684154.487153575,684154.487153575,1,96.2939954996109,0.606678272137912,2083.79083023071,0.744418386922681,67.4490699768066,2.95888900756836,2000.0,2019.0,0.187983838138654,0.187983838138654,0.0,0.0,-0.0
1,11441100451.0,1.00212493423778,2769.1895794945,199.0,121.0,-1.0,-1.0,-0.0002478220576191443,-0.0002478220576191443,-0.0002478220576191443,-0.0002478220576191443,-0.0002478220576191443,-0.0002478220576191443,121.0,121.0,715421.620802352,715421.620802352,1,96.3113236904144,0.606329113773256,2104.51979637146,0.745090060026515,67.4365730285645,2.97060012817383,2000.0,2019.0,0.187983838138654,0.187983838138654,0.0,0.0,-0.0
2,11441100521.0,1.41955997494005,3446.80144280024,118.5,138.400009155273,-1.0,-1.0,-0.000255988490853567,-0.000255988490853567,-0.000255988490853567,-0.000255988490853567,-0.000255988490853567,-0.000255988490853567,138.400009155273,138.400009155273,799981.693375119,799981.693375119,1,96.3619035959244,0.606190560029045,2036.40816135406,0.746436839954539,67.3232917785645,3.03578567504883,2000.0,2019.0,0.195919478029792,0.195919478029792,0.0,0.0,-0.0
3,11441100541.0,2.5261587632400992,4950.865939876936,156.55978260869566,145.18288504559064,130238.7212524414,297942.0559082031,0.36794936365182607,4.107925918238359,0.8541233414971288,5.716514108384902,0.3607628401920681,0.823771454135911,147.100006103516,143.100006103516,840963.781641515,822783.568227457,92,96.1809231042862,0.605081693600712,1935.6433763503999,0.747056642876119,67.289436340332,2.95695114135742,2000.0,2019.0,0.212521935405059,0.212521935405059,0.007186523459757954,0.030351887361217744,0.39166479113760616
4,11441100551.0,1.1115405001142702,5230.870644516642,151.0737704918033,147.9295137749347,50847.725036621094,60660.093811035156,0.22131558276883603,2.926615314289065,0.25897219006110106,3.624798322106627,0.17797750760373182,0.25930410847267865,149.400009155273,147.100006103516,853409.430905321,841189.160715833,61,96.1809231042862,0.605081693600712,1935.6433763504,0.747056642876119,67.289436340332,2.95695114135742,2000.0,2019.0,0.212521935405059,0.212521935405059,0.04333807516510421,-0.00033191841157759194,0.08799713666554519
5,11441100561.0,1.2145977280798437,3274.7380726316896,159.88888888888889,151.91000807020382,50842.100036621094,284536.48236083984,0.30163578349726744,2.9769936028516986,1.673936513510695,5.882038440480002,0.240235900359237,1.5983769283026368,152.900009155273,149.600006103516,862415.795268847,853678.709464211,45,96.2475973844528,0.604698391871584,1972.39640197754,0.7475018544706,67.2888069152832,2.95453262329102,2000.0,2019.0,0.20409789310190102,0.20409789310190102,0.06139988313803044,0.07555958520805817,0.6968077110161581
6,11441100571.0,1.191803076807586,5452.5967933443335,161.56666666666666,154.58222079806836,61542.91424560547,203359.21997070312,0.3578460291843447,3.444544127503963,1.2041933352451077,5.5419108602154,0.3212603051061345,1.1512820240301118,156.199996948242,152.900009155273,871421.49930745,862639.497226436,45,96.3619035959244,0.606190560029045,2036.40816135406,0.7464368399545389,67.3232917785645,3.03578567504883,2000.0,2019.0,0.195919478029792,0.195919478029792,0.0365857240782102,0.052911311214995926,0.535353579330909
7,11443000011.0,1.029860297069424,3510.9217889082806,183.5681818181818,158.1823862249201,138233.88720703125,91859.91223144531,0.8334259544324955,5.915634219949465,0.5451766474816367,6.595665993437546,0.7854906378427742,0.5300148264835641,158.5,157.0,889272.422544792,880622.456600432,44,96.45915069580082,0.603731728927159,1855.47569961548,0.751180922692101,67.2810478210449,2.96094131469727,2000.0,2019.0,0.20409789310190096,0.20409789310190096,0.04793531658972128,0.015161820998072617,-0.20154378383406027
8,11443000021.0,1.0954532388341043,4042.264566070838,166.3181818181818,159.21023108742438,103448.17022705078,16052.341491699219,0.6221364174266782,7.017277552134321,0.09619102415943431,1.4136404847342774,0.575356769698428,0.10092328695849284,159.900009155273,158.5,898030.34244135,889466.800772772,44,96.45915069580082,0.603731728927159,1855.47569961548,0.751180922692101,67.2810478210449,2.96094131469727,2000.0,2019.0,0.20409789310190096,0.20409789310190096,0.04677964772825027,-0.004732262799058529,-0.7313427154273757
9,11443000031.0,1.3906985971286412,3115.6583691709343,182.6590909090909,162.42272949218759,34778.29656982422,316568.6001586914,0.20919672289972346,2.632713805406444,1.9079685077765445,9.963536041914177,0.20375723275082638,1.7988647381158493,163.800003051758,159.900009155273,906884.001571083,898253.45038075,44,96.45915069580082,0.603731728927159,1855.47569961548,0.751180922692101,67.2810478210449,2.96094131469727,2000.0,2019.0,0.20409789310190096,0.20409789310190096,0.00543949014889708,0.10910376966069513,0.8020287249231219
